Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Ahri Ahri	5	2	24%	0	5	0%	2.2	8.5	1.60	35:54	8.5	689	400	-3.2	-402	-432
Neeko Neeko	3	3	23%	2	1	67%	2.6	9.7	1.33	31:32	1.1	393	261	-1	-75	406
Renekton Renekton	3	4	22%	2	1	67%	5.7	7.5	2.67	29:01	8.9	443	411	13.3	1028	359
Kaisa Kaisa	2	4	21%	1	1	50%	6.0	8.5	2.00	36:18	10.2	882	487	-7.5	197	416
Leona Leona	4	2	19%	0	4	0%	1.0	7.0	1.75	33:44	1.1	194	231	4.8	-248	-136
Ryze Ryze	3	2	19%	2	1	67%	4.8	6.0	1.33	33:02	9.4	721	441	-4.7	-283	16
Xayah Xayah	2	3	19%	1	1	50%	2.9	9.7	1.50	35:29	10.1	906	451	-8	-780	-542
Orianna Orianna	2	3	18%	1	1	50%	10.0	6.3	2.00	28:03	9.4	451	406	2	-48	-86
Viktor Viktor	5	0	18%	2	3	40%	3.9	-	1.40	32:31	8.4	887	389	6.6	194	481
Sylas Sylas	3	2	18%	2	1	67%	4.4	6.5	1.67	32:00	8.8	657	450	-0.3	-175	-131
Draven Draven	0	4	17%					8.3	-							
Galio Galio	3	1	17%	1	2	33%	2.1	5.0	1.00	32:29	7.9	590	363	2.7	-132	-5
Gnar Gnar	2	3	17%	1	1	50%	3.4	8.3	2.00	42:52	8.1	1013	442	13	539	540
KSante KSante	1	3	17%	0	1	0%	0.3	1.3	1.00	27:22	7.3	300	302	-14	-1291	-1288
Jax Jax	5	1	16%	4	1	80%	2.4	8.0	2.00	31:40	7.7	487	394	-5	-85	-138
Zyra Zyra	1	3	15%	1	0	100%	-	3.7	2.00	27:28	8.3	525	444	46	1303	1456
Karma Karma	1	3	14%	1	0	100%	-	7.0	3.00	28:42	0.8	214	254	-3	719	-170
Jhin Jhin	2	2	13%	1	1	50%	4.8	7.5	2.00	35:41	7.4	642	376	-14.5	-1000	-1128
Ivern Ivern	2	2	13%	1	1	50%	9.0	1.5	2.00	35:41	4.6	253	299	-30	-1050	-988
Hwei Hwei	3	1	13%	1	2	33%	3.9	9.0	1.67	31:15	8.4	763	392	0	293	330
Aurora Aurora	1	2	13%	0	1	0%	1.5	6.0	1.00	31:44	7.7	355	336	-4	-302	-579
Yorick Yorick	2	2	12%	1	1	50%	4.0	6.5	2.50	29:03	8.9	841	432	11.5	231	424
Nocturne Nocturne	2	1	10%	1	1	50%	3.5	2.0	1.50	39:33	7.0	532	370	35	620	1594
Fiora Fiora	1	1	8%	0	1	0%	0.7	5.0	1.00	33:19	8.9	492	391	-27	-638	-1146
Wukong Wukong	1	1	8%	0	1	0%	2.0	7.0	1.00	33:19	6.5	207	311	1	-159	-345
Renata Glasc Renata Glasc	1	1	8%	0	1	0%	1.5	7.0	1.00	27:40	1.2	200	209	-2	-345	-3
Aatrox Aatrox	4	0	8%	0	4	0%	0.8	-	2.25	34:30	7.6	412	336	-3.5	-644	-330
Bard Bard	3	0	8%	1	2	33%	2.5	-	2.00	30:21	0.8	255	234	-10	43	-231
Tristana Tristana	2	0	6%	1	1	50%	2.6	-	1.50	32:43	9.2	837	451	-13.5	-244	-646
Akali Akali	2	0	6%	1	1	50%	2.0	-	2.00	32:06	7.1	601	373	-9	56	-292
Ziggs Ziggs	1	1	6%	0	1	0%	0.5	10.0	3.00	28:35	9.7	546	357	3	-409	-283
Caitlyn Caitlyn	0	1	4%					7.0	-							
Cassiopeia Cassiopeia	1	0	4%	1	0	100%	15.0	-	1.00	29:07	7.0	641	436	2	812	736
